Index,CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Net migration,United Kingdom,GBR,,,142563,,,,,-84853,,,,,106415,,,,,39119,,,,,-97495,,,,,98758,,,,,205443,,,,,498998,,,,,968350,,,,,2030075,,,,,990000,,,,,900000
Population,United Kingdom,GBR,52400000,52800000,53250000,53650000,54000000,54348050,54648500,54943600,55211700,55441750,55663250,55896223,56086065,56194527,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66023290
GDP per capita,Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.640122,1314.67067,757.2235485,550.0155426,519.8161871,578.3367633,689.0300333,807.0370243,851.5162062,673.5374112,749.9031715,801.9901868,853.5194255,1010.007129,1305.046885,1642.766937,1996.059043,2635.350593,3324.727566,2822.660305,3073.534272,3842.631888,4249.667486,4341.443895,4438.68465,3756.37852,3857.276309,4045.418967
Life expectancy,Georgia,GEO,63.651,64.058,64.468,64.88,65.291,65.694,66.083,66.454,66.805,67.136,67.452,67.766,68.082,68.401,68.718,69.014,69.266,69.461,69.592,69.665,69.7,69.726,69.768,69.844,69.954,70.083,70.204,70.288,70.323,70.311,70.268,70.22,70.196,70.222,70.307,70.462,70.687,70.966,71.274,71.596,71.907,72.182,72.408,72.575,72.682,72.73,72.73,72.704,72.673,72.65,72.649,72.68,72.742,72.832,72.951,73.096,73.261,73.436
Net migration,Georgia,GEO,,,96284,,,,,85196,,,,,-73425,,,,,-95444,,,,,-47827,,,,,-43659,,,,,-544069,,,,,-366036,,,,,-277521,,,,,-299482,,,,,-305269,,,,,-50000
Population,Georgia,GEO,3645600,3703600,3760300,3816100,3870300,3921600,3966700,4005800,4042300,4080300,4119900,4163000,4205300,4242500,4279500,4311200,4342400,4372100,4397700,4430200,4467700,4504500,4542800,4582900,4622200,4662900,4704500,4743500,4790700,4803300,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004
GDP per capita,Ghana,GHA,182.9791827,189.7133715,195.1199794,210.9689687,230.4311892,266.3186334,269.459223,216.8414126,202.7619646,233.6513329,257.6519519,273.8226979,232.5398766,263.685956,301.3668014,285.829524,275.8778832,312.9993132,353.7088743,381.0361948,411.5179312,379.7977725,351.3193905,341.0872137,358.3968172,354.2199896,437.078241,376.4318004,375.1812249,368.9623966,402.5888811,438.6143193,414.7673408,375.3204353,333.4049392,385.7373195,403.5344405,391.35568,414.768461,417.7679907,263.1124679,273.6596668,309.4844703,373.2815537,423.1936389,498.1723904,922.9537497,1090.686718,1224.401554,1086.765038,1312.607557,1574.978653,1629.800222,2401.754122,1987.983363,1783.061087,1950.234377,2046.109986
Life expectancy,Ghana,GHA,45.844,46.28,46.697,47.094,47.47,47.824,48.156,48.469,48.768,49.056,49.339,49.623,49.911,50.204,50.505,50.809,51.11,51.405,51.693,51.977,52.268,52.575,52.907,53.272,53.67,54.111,54.605,55.14,55.697,56.251,56.755,57.16,57.439,57.583,57.598,57.507,57.347,57.171,57.032,56.962,56.994,57.147,57.41,57.761,58.187,58.666,59.167,59.663,60.128,60.55,60.924,61.254,61.561,61.86,62.154,62.448,62.742,63.033
Net migration,Ghana,GHA,,,0,,,,,-361999,,,,,-164002,,,,,-563999,,,,,206001,,,,,-30003,,,,,-16285,,,,,-112636,,,,,165518,,,,,189259,,,,,-49999,,,,,-100000
Population,Ghana,GHA,6652287,6866539,7085464,7303432,7513289,7710549,7890992,8057444,8221020,8397347,8596983,8827273,9083573,9350111,9604276,9831407,10023472,10189890,10354499,10550777,10802028,11117605,11488106,11895125,12311158,12716228,13104296,13481406,13854214,14233874,14628260,15039514,15463854,15896432,16330174,16760467,17185608,17608812,18036494,18477612,18938762,19421605,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629
GDP per capita,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life expectancy,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net migration,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,Gibraltar,GIB,23394,23786,24284,24848,25454,26041,26612,27174,27694,28159,28560,28869,29104,29278,29427,29578,29742,29902,30049,30177,30272,30334,30381,30383,30325,30207,30004,29744,29469,29262,29164,29212,29379,29623,29895,30147,30382,30594,30801,30991,31180,31374,31544,31720,31896,32085,32296,32510,32732,32956,33189,33405,33623,33831,34038,34228,34408,34571
GDP per capita,Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,367.6243838,379.3634686,429.2252767,421.447937,441.4127933,472.9737936,485.9748491,457.7628488,448.4475642,469.2761014,475.7463919,453.801151,421.9982034,399.9739644,340.0516918,315.8398003,322.811171,370.1931781,386.3288283,303.424498,427.0657265,622.1736568,674.6181787,636.2799568,634.9231054,614.8647662,677.0434993,726.0893942,743.5912878,727.302519,701.3886423,823.4937155
Life expectancy,Guinea,GIN,34.89,35.086,35.266,35.432,35.588,35.74,35.891,36.048,36.222,36.421,36.656,36.933,37.255,37.623,38.039,38.498,38.993,39.517,40.068,40.65,41.279,41.977,42.753,43.607,44.522,45.482,46.463,47.434,48.359,49.208,49.949,50.557,51.032,51.381,51.61,51.717,51.701,51.592,51.434,51.273,51.181,51.229,51.451,51.859,52.444,53.17,53.972,54.775,55.521,56.185,56.765,57.282,57.782,58.301,58.846,59.419,60.015,60.617
Net migration,Guinea,GIN,,,-13857,,,,,-13857,,,,,-275000,,,,,-353000,,,,,-38000,,,,,162450,,,,,800000,,,,,-246148,,,,,-368004,,,,,-300000,,,,,-250000,,,,,-50000
Population,Guinea,GIN,3577409,3633652,3690664,3749505,3811659,3877806,3948869,4023486,4097191,4164003,4219770,4263840,4298091,4324360,4345545,4364514,4381601,4398484,4421134,4457078,4511902,4589784,4690605,4810496,4943144,5084767,5229797,5381483,5554882,5770652,6041094,6374329,6758838,7163236,7544291,7871173,8132552,8337988,8503297,8653769,8808546,8971139,9137345,9309848,9490229,9679745,9881428,10096727,10323142,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924,12717176
GDP per capita,"Gambia, The",GMB,,,,,,,108.3158256,112.1570719,96.73252937,103.6460073,116.9206138,121.0980781,124.6716181,153.4883772,189.5059533,221.0499974,209.1491166,250.2536952,302.6196058,353.9466887,398.8965498,349.7930893,333.304787,317.0447339,252.9422196,308.3268474,242.1717627,274.3683933,316.3194665,322.4463052,345.8558101,727.034661,729.0418881,748.7842096,719.9757073,737.1787914,773.4393371,712.3318781,723.7948296,681.5374179,635.5637584,541.0558913,440.9474786,359.6521781,413.8403583,432.1918787,439.3432874,519.0548058,607.955496,549.3178255,562.4837817,514.3781619,504.9739367,735.2358088,656.496763,704.9740416,707.5289845,709.077158
Life expectancy,"Gambia, The",GMB,32.035,32.317,32.651,33.05,33.523,34.076,34.711,35.417,36.178,36.985,37.824,38.685,39.556,40.429,41.293,42.146,42.989,43.827,44.66,45.483,46.293,47.087,47.86,48.603,49.308,49.958,50.537,51.042,51.476,51.849,52.176,52.481,52.786,53.11,53.461,53.844,54.254,54.676,55.097,55.513,55.924,56.329,56.732,57.132,57.527,57.914,58.289,58.648,58.991,59.316,59.622,59.911,60.187,60.452,60.707,60.954,61.193,61.424
Net migration,"Gambia, The",GMB,,,-3232,,,,,118,,,,,9392,,,,,-3380,,,,,19475,,,,,48392,,,,,-14801,,,,,-26418,,,,,-13742,,,,,-13742,,,,,-13476,,,,,-13000
Population,"Gambia, The",GMB,367928,376737,383523,389072,394553,400861,408180,416339,425510,435798,447285,460194,474539,489861,505512,521070,536409,551817,567831,585157,604369,625411,648210,673238,701104,732096,766589,804125,843050,881138,916808,949493,979718,1008358,1036829,1066223,1096708,1128169,1160944,1195420,1231844,1270495,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568
GDP per capita,Guinea-Bissau,GNB,,,,,,,,,,,110.6077668,108.1437635,118.2791792,118.1761217,128.4556489,139.9999231,143.3215955,146.1336164,155.5708772,149.5817782,138.1697922,189.970092,198.787073,191.5174436,157.9235541,159.9275306,141.2992024,184.2234318,170.2919831,215.6183147,241.002485,247.9382292,212.9407638,217.6075395,211.5953014,223.3418422,233.3095607,227.6382572,172.0601413,183.8530201,297.7519336,309.486749,321.4813204,360.5718585,393.3138244,424.9562044,418.9512693,481.33501,583.894419,544.8612801,545.7041208,688.1412395,603.9339835,621.9406736,610.4684902,591.8061497,648.8989366,723.6094119
Life expectancy,Guinea-Bissau,GNB,37.854,38.157,38.481,38.828,39.195,39.58,39.975,40.372,40.767,41.155,41.538,41.917,42.295,42.679,43.068,43.465,43.873,44.292,44.717,45.146,45.569,45.979,46.369,46.737,47.084,47.414,47.734,48.054,48.381,48.718,49.071,49.441,49.825,50.213,50.599,50.969,51.306,51.604,51.86,52.079,52.27,52.45,52.636,52.845,53.084,53.357,53.663,53.991,54.333,54.687,55.05,55.424,55.807,56.2,56.598,57,57.403,57.805
Net migration,Guinea-Bissau,GNB,,,-20001,,,,,-7230,,,,,-14999,,,,,-79367,,,,,-30001,,,,,-28004,,,,,-29999,,,,,-58803,,,,,-39899,,,,,-25002,,,,,-10003,,,,,-9995
Population,Guinea-Bissau,GNB,616409,623415,629969,636586,643961,652562,662463,673462,685476,698338,711827,726256,741490,756280,768945,778470,784156,786754,788495,792462,800854,814507,832668,854113,876873,899509,921626,943617,965742,988520,1012280,1037155,1062800,1088569,1113541,1137122,1159060,1179727,1199915,1220794,1243229,1267512,1293523,1321202,1350345,1380838,1412669,1445958,1480841,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698,1861283
GDP per capita,Equatorial Guinea,GNQ,,,34.74142752,40.66082689,46.83051605,233.4148053,242.6035918,246.4471338,224.0372112,219.5247223,216.4051631,215.2942485,223.6245817,288.9578605,349.4832077,401.5278074,411.005218,421.5533677,,,198.3467376,136.010571,152.4158867,141.3227028,148.8405743,173.0823549,203.1981915,239.2422021,249.8835852,213.1317932,262.6694558,251.7022043,295.9634764,289.088409,206.936408,280.9695313,443.6325956,812.1715228,654.1473102,1052.852818,1702.684901,2283.879039,2711.170114,3577.176197,6085.348907,10850.63334,12732.02759,15761.83913,22742.38159,16530.20937,17136.44568,21451.88617,21557.65187,20246.99308,19245.65151,11213.47523,9218.987324,9697.630234
Life expectancy,Equatorial Guinea,GNQ,36.74,37.041,37.342,37.642,37.942,38.242,38.542,38.842,39.142,39.443,39.738,40.019,40.288,40.55,40.818,41.122,41.493,41.95,42.493,43.111,43.772,44.434,45.054,45.604,46.074,46.469,46.81,47.135,47.473,47.838,48.239,48.677,49.142,49.62,50.104,50.588,51.062,51.521,51.959,52.371,52.752,53.099,53.415,53.709,53.987,54.262,54.55,54.858,55.19,55.543,55.908,56.265,56.601,56.905,57.18,57.434,57.681,57.939
Net migration,Equatorial Guinea,GNQ,,,2999,,,,,5001,,,,,-70000,,,,,-29997,,,,,65001,,,,,20000,,,,,20004,,,,,35002,,,,,50003,,,,,80003,,,,,90001,,,,,79999
Population,Equatorial Guinea,GNQ,255323,258947,262590,266598,271457,277396,284868,293440,301353,306233,306515,301666,292585,281021,269426,259747,252194,246677,244485,247078,255325,270063,290617,314475,338086,358896,376024,390173,402326,414138,426846,440624,455148,470610,487140,504871,523999,544636,566673,589938,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689
GDP per capita,Greece,GRC,533.6863812,597.287321,630.6139413,701.6204178,784.9543484,888.9219979,981.6523945,1052.120993,1134.356151,1284.212316,1494.387855,1652.326599,1899.675273,2502.814358,2828.748432,3153.235306,3390.545484,3886.374253,4694.633683,5705.949274,5893.66181,5380.267683,5579.234772,5019.878653,4852.565728,4813.71118,5656.505356,6564.884503,7598.028053,7846.678164,9600.18513,10188.36978,11176.45844,10401.98299,11091.28386,12959.32432,13749.11515,13427.83249,13472.13764,13245.18946,12042.95373,12538.17883,14110.31339,18477.57841,21955.10409,22551.73574,24801.15781,28827.32636,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18167.77372,18116.45962,18885.47598
Life expectancy,Greece,GRC,68.16390244,68.54863415,68.89226829,69.18570732,69.42943902,69.638,69.83746341,70.05246341,70.30256098,70.58929268,70.90363415,71.22656098,71.535,71.81485366,72.06463415,72.29370732,72.51956098,72.76165854,73.03107317,73.32936585,73.64714634,73.9694878,74.279,74.56585366,74.82912195,75.0785122,75.32970732,75.59814634,75.8912439,76.68780488,76.93902439,77.13658537,77.38292683,77.3902439,77.63902439,77.58536585,77.68536585,78.13658537,77.83902439,77.98780488,77.88780488,78.38780488,78.64146341,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.38780488,81.38780488
Net migration,Greece,GRC,,,-257899,,,,,-187126,,,,,20771,,,,,309665,,,,,100241,,,,,178887,,,,,464636,,,,,297431,,,,,113586,,,,,80157,,,,,-161799,,,,,49996
Population,Greece,GRC,8331725,8398050,8448233,8479625,8510429,8550333,8613651,8684088,8740765,8772764,8792806,8831036,8888628,8929086,8962022,9046541,9188150,9308479,9429959,9548258,9642505,9729350,9789513,9846627,9895801,9934300,9967213,10000595,10036983,10089498,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10753531
GDP per capita,Grenada,GRD,,,,,,,,,,,,,,,,,,792.7625209,991.5730502,1154.416519,1246.002551,1276.905875,1347.451311,1373.168227,1478.411105,1678.862683,1873.216526,2163.509455,2410.286591,2759.682068,2888.347506,3118.148432,3191.016733,3151.540463,3270.578088,3413.021979,3640.138938,3878.390386,4401.421321,4751.575978,5117.589923,5109.958715,5292.232379,5773.073577,5836.177063,6754.512393,6766.48686,7324.190456,7947.426509,7395.063622,7365.641538,7410.477525,7583.188055,7956.076548,8569.926734,9333.270231,9892.479497,10451.02988
Life expectancy,Grenada,GRD,60.068,60.503,60.924,61.331,61.725,62.107,62.477,62.835,63.181,63.517,63.843,64.158,64.462,64.755,65.038,65.312,65.577,65.833,66.081,66.322,66.557,66.787,67.012,67.233,67.449,67.66,67.864,68.06,68.247,68.427,68.6,68.765,68.925,69.083,69.241,69.402,69.57,69.748,69.934,70.131,70.337,70.551,70.77,70.991,71.213,71.438,71.667,71.903,72.142,72.383,72.618,72.84,73.044,73.227,73.388,73.531,73.659,73.78
Net migration,Grenada,GRD,,,-8968,,,,,-9319,,,,,-11426,,,,,-12867,,,,,-288,,,,,-15001,,,,,-3923,,,,,-4912,,,,,-4132,,,,,-4274,,,,,-4274,,,,,-3497
Population,Grenada,GRD,89869,91260,92425,93350,94066,94581,94875,94961,94868,94682,94426,94185,93934,93630,93152,92448,91437,90184,89073,88568,89005,90572,93091,95985,98439,99906,100143,99380,98062,96869,96283,96454,97198,98305,99405,100255,100796,101122,101309,101442,101619,101849,102100,102375,102656,102949,103259,103586,103930,104296,104677,105075,105481,105909,106360,106823,107317,107825
GDP per capita,Greenland,GRL,,,,,,,,,,,1498.276437,1876.503239,2196.711711,2860.280576,3432.706033,4257.949712,4844.676329,5713.954919,7235.549741,8480.694827,9483.173076,8544.058329,7813.690667,7988.170959,7198.702247,7760.828404,11271.32143,14554.38754,16398.01109,16813.68395,18326.80512,18315.1963,18768.93014,16797.45886,18123.96303,21665.7019,21422.35754,19145.49604,20496.66137,20170.43842,19004.10729,19275.47334,20652.87833,27460.0302,32070.3786,32489.78191,35458.12312,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47262.28276,50408.33455,44912.26609,48159.66532,
Life expectancy,Greenland,GRL,,,,,,,,,,,,,,,,,,,63.41463415,63.95487805,63.4497561,63.07487805,63.19268293,63.3,63.46658537,63.83365854,64.24878049,64.65414634,64.58243902,64.66756098,65.06829268,65.03170732,65.19609756,65.58536585,65.90097561,65.64414634,65.76731707,65.79804878,66.15707317,66.40341463,66.96341463,67.60780488,68.16268293,68.43536585,68.80682927,69.22073171,69.51926829,69.98268293,70.21341463,70.46780488,70.85707317,71.06243902,71.29902439,71.8304878,71.53841463,71.24634146,,
Net migration,Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,Greenland,GRL,32500,33700,35000,36400,37600,39200,40500,41900,43400,44900,46400,47200,48300,49000,49500,49600,49700,49400,49200,49600,50200,51000,51500,52100,52700,53200,53500,54100,54800,55300,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171
GDP per capita,Guatemala,GTM,247.8419862,248.3082085,256.1685067,274.789958,274.6197897,273.4040137,277.4102446,281.6528049,303.2034513,313.8589578,338.682043,343.3624889,353.6609113,420.8677982,504.3304624,566.6854427,661.4878984,810.0638887,875.495024,971.356509,1081.725043,1152.817804,1138.759741,1153.23768,1177.436451,1179.803556,857.009467,820.0383466,886.8008272,929.3140585,825.8073881,991.8622727,1075.428217,1147.026435,1276.332727,1408.024203,1472.275343,1633.966225,1742.083824,1608.684086,1655.58773,1568.376308,1701.771492,1753.349471,1872.737083,2077.83438,2256.56724,2489.955836,2794.226157,2635.758874,2825.519029,3187.841465,3299.605536,3452.834671,3687.763767,3923.573344,4140.737635,4470.989572
Life expectancy,Guatemala,GTM,46.702,47.219,47.75,48.295,48.856,49.434,50.032,50.646,51.267,51.889,52.501,53.091,53.652,54.181,54.676,55.14,55.577,56,56.418,56.84,57.272,57.719,58.183,58.661,59.154,59.661,60.176,60.694,61.214,61.735,62.261,62.799,63.352,63.921,64.502,65.09,65.678,66.257,66.817,67.351,67.849,68.304,68.717,69.092,69.437,69.763,70.085,70.415,70.76,71.122,71.494,71.867,72.227,72.562,72.869,73.15,73.409,73.654
Net migration,Guatemala,GTM,,,-10311,,,,,-41269,,,,,-137529,,,,,-258519,,,,,-283074,,,,,-299909,,,,,-367469,,,,,-402326,,,,,-281050,,,,,-114231,,,,,-50131,,,,,-46073
Population,Guatemala,GTM,4210747,4336143,4464249,4595510,4730540,4869716,5013153,5160609,5311615,5465512,5621792,5780480,5941567,6104530,6268707,6433728,6599214,6765516,6933906,7106145,7283459,7466488,7654819,7847472,8042897,8240060,8438604,8639108,8842575,9050465,9263813,9483270,9708544,9938692,10172297,10408489,10646674,10887634,11133501,11387203,11650743,11924946,12208848,12500478,12796925,13096028,13397008,13700286,14006366,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469,16913503
GDP per capita,Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21536.5039,22572.50466,24396.10624,26495.87758,26555.6452,27540.83913,29056.497,30025.56035,30700.43401,30862.11,32499.23425,33272.01871,34404.5674,35291.13642,35562.56753,35675.79417
Life expectancy,Guam,GUM,60.97,61.481,61.986,62.482,62.968,63.443,63.907,64.361,64.805,65.239,65.662,66.074,66.473,66.86,67.235,67.599,67.951,68.292,68.624,68.947,69.262,69.567,69.864,70.151,70.431,70.701,70.96,71.209,71.45,71.687,71.925,72.167,72.42,72.685,72.967,73.267,73.589,73.93,74.283,74.646,75.01,75.369,75.715,76.047,76.362,76.663,76.956,77.249,77.543,77.84,78.134,78.419,78.689,78.938,79.168,79.379,79.575,79.763
Net migration,Guam,GUM,,,-2905,,,,,-1442,,,,,-2131,,,,,-1511,,,,,109,,,,,99,,,,,1739,,,,,-4116,,,,,-9556,,,,,-9776,,,,,-7594,,,,,-2532
Population,Guam,GUM,66742,68072,69604,71286,73051,74830,76607,78404,80217,82040,83877,85726,87587,89464,91377,93352,95385,97477,99630,101844,104133,106485,108906,111402,113961,116572,119232,121919,124673,127522,130482,133558,136692,139818,142802,145561,148060,150303,152277,153953,155329,156401,157175,157714,158099,158402,158648,158855,159035,159231,159444,159678,159973,160375,160967,161797,162896,164229
GDP per capita,Guyana,GUY,297.6732991,315.3854595,321.5457671,282.3063385,305.3616112,327.1142227,344.1665235,370.1541723,334.8412728,358.3209366,379.8937205,395.2029189,395.2929468,420.6615817,588.1362199,663.4010019,602.6248473,590.0653705,658.4385652,683.3330327,773.1816708,729.6069588,616.9631589,628.1976888,564.526418,588.6134094,660.1415374,468.104341,551.1960875,509.3163682,533.5362054,468.276563,499.3398796,602.668912,713.2335202,816.5429329,925.8985582,985.046889,946.6703474,919.8665766,946.0599372,946.7002573,965.7492841,988.3050591,1048.110534,1098.455216,1945.640034,2326.851954,2568.618908,2764.306686,3044.948083,3438.825278,3799.753364,3941.114661,4031.531939,4160.265415,4531.243527,4655.144448
Life expectancy,Guyana,GUY,60.26,60.441,60.623,60.805,60.984,61.157,61.317,61.462,61.588,61.697,61.789,61.868,61.938,62.005,62.072,62.14,62.211,62.283,62.355,62.427,62.498,62.565,62.626,62.684,62.741,62.801,62.869,62.95,63.046,63.159,63.29,63.438,63.6,63.77,63.946,64.122,64.297,64.466,64.63,64.785,64.93,65.065,65.192,65.313,65.428,65.538,65.642,65.741,65.836,65.929,66.022,66.117,66.216,66.318,66.425,66.536,66.65,66.766
Net migration,Guyana,GUY,,,-14669,,,,,-42559,,,,,-54362,,,,,-52341,,,,,-97340,,,,,-102648,,,,,-57867,,,,,-80312,,,,,-64249,,,,,-55476,,,,,-27278,,,,,-24552
Population,Guyana,GUY,571819,589274,606285,622575,637845,651868,664521,675871,686146,695745,704934,713684,721948,729916,737847,745841,754101,762424,770125,776254,780153,781732,781246,778948,775219,770435,764459,757506,750731,745665,743309,744289,748134,753484,758342,761291,761861,760510,757952,755278,753301,752263,751884,751857,751652,750946,749601,747869,746314,745693,746556,749100,753091,758081,763393,768514,773303,777859
GDP per capita,High income,HIC,1388.252316,1447.441742,1543.106036,1629.158982,1764.677837,1894.102303,2051.400795,2169.573467,2329.693201,2531.650936,2755.051442,3024.218775,3467.890766,4167.869186,4668.520398,5123.003046,5528.276798,6206.369553,7359.813777,8438.641922,9345.89009,9410.347652,9256.274346,9509.735399,9816.601158,10242.59173,12349.71974,14196.00619,15874.34971,16426.83092,18367.56312,19316.68948,20678.32315,20685.48749,22021.39992,24217.86771,24274.94336,23740.04095,23669.22853,24674.44576,25019.98347,24602.88786,25310.75034,28204.39828,31195.63878,32779.28621,34356.84821,37286.59401,39330.39073,36585.70644,38184.62607,41062.91509,40872.59833,41113.50985,41712.61907,39244.33,39790.65184,41352.35816
Life expectancy,High income,HIC,68.37302165,68.75143266,68.73662388,68.94820046,69.3446936,69.45884144,69.72460983,69.95418213,69.9075574,70.11342275,70.44228995,70.72422339,71.01881937,71.19370478,71.60242868,71.94928439,72.20941357,72.56063979,72.71944168,73.04304019,73.07576919,73.42914543,73.75722979,73.86041661,74.13585631,74.26427463,74.50945967,74.77405397,74.89267096,75.13688058,75.30009471,75.47536705,75.73439901,75.81413454,76.09247993,76.16440163,76.53030197,76.85991746,77.04271252,77.1888311,77.46320986,77.76054991,77.89959198,78.027247,78.43036056,78.52919607,78.8310451,79.0603414,79.20502498,79.47795927,79.65384343,79.889785,80.00872003,80.18534056,80.43795077,80.32768071,80.48509884,80.54614832
Net migration,High income,HIC,,,4348133,,,,,4605753,,,,,8028730,,,,,7362115,,,,,6980495,,,,,9035278,,,,,11110216,,,,,14216196,,,,,18128698,,,,,22333459,,,,,15916583,,,,,14628870
Population,High income,HIC,780591817,792293287,802654521,812944684,823135718,832953335,842153889,850689003,858454497,868118039,876848585,886078171,895459498,903982698,913581004,922645613,930249692,938088287,945972897,954231968,962302649,970401061,978113354,985406843,992353380,999335167,1006605382,1013859280,1021259035,1029092389,1037368612,1046027743,1052740970,1061183763,1069200751,1078499655,1086117837,1093532639,1100792672,1107959156,1115040509,1122493147,1130156017,1137808171,1145830887,1154016985,1162770622,1172015104,1181834745,1190657857,1198652923,1204558069,1211908469,1219339174,1226947377,1234380005,1241782962,1248439499
GDP per capita,"Hong Kong SAR, China",HKG,429.4428744,436.7544115,487.8211341,565.7278104,629.5915258,676.8055071,685.9266141,723.2392256,714.4829696,825.5234491,960.0319615,1106.469717,1384.738437,1893.181242,2144.607713,2252.111881,2850.01461,3429.420276,3923.943731,4569.453707,5700.412634,5991.320261,6133.784079,5595.235139,6208.226159,6542.931537,7435.030698,9071.332602,10609.74564,12097.77516,13485.54489,15465.85886,17976.42938,20395.51737,22502.57974,23497.49231,24818.15455,27330.03335,25808.97095,25091.6666,25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43737.04197,46193.61452
Life expectancy,"Hong Kong SAR, China",HKG,66.96168293,67.5487561,68.10597561,68.62585366,69.10436585,69.54287805,69.94621951,70.32578049,70.69053659,71.04456098,71.3865122,71.45853659,71.45609756,72.1097561,72.61219512,73.36829268,72.8195122,73.3195122,73.57560976,73.67317073,74.67317073,75.32439024,75.42926829,75.27560976,76.02926829,76.43414634,76.68536585,76.88292683,77.08292683,77.02926829,77.3804878,77.88292683,77.67804878,78.03170732,78.52926829,78.68292683,79.62682927,80.12682927,80.13170732,80.38292683,80.87804878,81.42439024,81.42682927,81.37804878,81.82926829,81.62926829,82.37560976,82.32682927,82.37560976,82.77560976,82.97804878,83.42195122,83.4804878,83.83170732,83.9804878,84.27804878,84.22682927,84.6804878
Net migration,"Hong Kong SAR, China",HKG,,,-27385,,,,,71590,,,,,73970,,,,,406637,,,,,160605,,,,,221262,,,,,156486,,,,,375683,,,,,64797,,,,,89747,,,,,74892,,,,,146542
Population,"Hong Kong SAR, China",HKG,3075605,3168100,3305200,3420900,3504600,3597900,3629900,3722800,3802700,3863900,3959000,4045300,4123600,4241600,4377800,4461600,4518000,4583700,4667500,4929700,5063100,5183400,5264500,5345100,5397900,5456200,5524600,5580500,5627600,5686200,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700
